unique_ID,pedon_ID,horizon,location,mean_HWC,beaker_weight_g,air_dry_weight_g,beaker_airdry_g,beaker_oven_dry_g,hygroscopic_moisture_g,hygroscopic_content_percent
8,10,a,Blue mounds,0.1663,29.182,5.688,34.87,34.059,0.811,16.62907525
73,3,c,Punderson Park,0.0178,38.142,3.653,41.795,41.731,0.064,1.783226525
75,5,c,Shoe Factory Rd,0.0231,29.641,6.591,36.232,36.083,0.149,2.31294629
76,6,c,Pecatonica,0.0451,28.903,3.594,32.497,32.342,0.155,4.507124164
78,8,c,Fox Coulee,0.0099,29.354,4.786,34.14,34.093,0.047,0.991770416
79,9,c,Great Bluffs,0.0323,30.212,5.952,36.164,35.978,0.186,3.225806452
80,11,c,Good Soldier,0.0779,27.258,4.122,31.38,31.082,0.298,7.792887029
81,12,c,Cottonwood,0.0444,29.182,5.293,34.475,34.25,0.225,4.439621152
85,17,c,Grab Bag,0.0613,27.837,5.297,33.134,32.828,0.306,6.131035865
86,18,c,Potosi,0.0158,29.025,5.451,34.476,34.391,0.085,1.584047708
87,19,c,Turah,0.0152,26.921,11.033,37.954,37.789,0.165,1.518218623
88,20,c,Clearwater,0.0209,29.669,5.708,35.377,35.26,0.117,2.0926489
89,21,c,Olympic,0.1082,30.186,5.5,35.686,35.149,0.537,10.82006851
90,22,c,Disappointment,0.0986,29.068,7.165,36.233,35.59,0.643,9.858938976
93,25,c,Alsea,0.0904,28.836,6.129,34.965,34.457,0.508,9.037537805
95,28,c,El Dorado,0.0213,28.785,8.441,37.226,37.05,0.176,2.129461585
96,29,c,Merklee,0.0659,27.236,6.887,34.123,33.697,0.426,6.593406593
98,31,c,Death Valley,0.0176,29.437,12.239,41.676,41.464,0.212,1.76270059
99,32,c,Flagstaff,0.0786,27.89,9.019,36.909,36.252,0.657,7.856972016
100,33,c,Jerome,0.0399,29.461,8.554,38.015,37.687,0.328,3.98735716
109,43,c,Gambil,0.0547,28.835,8.849,37.684,37.225,0.459,5.47079857
111,45,c,Dagmar,0.0309,29.155,8.603,37.758,37.5,0.258,3.09167166
112,46,c,Lewis,0.0223,28.893,8.541,37.434,37.248,0.186,2.226211849
117,51,c,Finger Lakes,0.009,26.688,5.632,32.32,32.27,0.05,0.895736295
121,55,c,Aroostook,0.0126,27.299,7.309,34.608,34.517,0.091,1.260737046
123,57,c,Halifax,0.1373,30.067,5.095,35.162,34.547,0.615,13.72767857
131,67,c,Wallowa,0.0566,29.548,5.414,34.962,34.672,0.29,5.659640906
135,7,o,Black River Falls,,,,,,0,
137,57,e,Halifax,,,,,,0,
142,6,b,Pecatonica,,,,,,0,
165,31,b,Death Valley,,,,,,0,
